Number: Data    Where                           Num. of occurrences
0: 0840 0000    sample_course_data_08           4
0: 0840 0000    sample_course_data_08_sub       2
0: 0840 0000    sample_course_data_08_sub_v32   2
0: 0840 0000    sample_course_data_08_v32       4
0: 0840 0000    sample_course_data_28           81
0: 5840 0000    sample_course_data_29           1
0: 5840 0000    sample_course_data_39           2
0: 1840 0000    sample_course_data_39           13
0: 0840 0000    sample_course_data_39           2
0: 4840 0000    sample_course_data_39           1
0: 5840 0000    sample_course_data_56           1
0: 1840 0000    sample_course_data_56           43
0: 0840 0000    sample_course_data_68           13
0: 0840 0000    sample_course_data_69           3
0: 0840 0000    sample_course_data_72           3
0: 0840 0000    sample_course_data_74           4
0: 4840 0000    sample_course_data_82           1
0: 0840 0000    sample_course_data_82           12
0: 0840 0000    sample_course_data_95_sub       14
0: 1840 0000    sample_course_data_97           6
0: 0840 0000    sample_course_data_97           3
0: 0840 0000    tutorial_course_data_01         3
0: 0840 0000    tutorial_course_data_02         5
1: 0846 0000    sample_course_data_08_sub       2
1: 4846 0000    sample_course_data_08_sub       1
1: 0846 0000    sample_course_data_08_sub_v32   2
1: 4846 0000    sample_course_data_08_sub_v32   1
1: 0844 0000    sample_course_data_09           1
1: 1840 0000    sample_course_data_09_sub       2
1: 1844 0000    sample_course_data_09_sub       2
1: 0861 0000    sample_course_data_09_sub       1
1: 4844 0000    sample_course_data_09_sub       1
1: 0840 0000    sample_course_data_09_sub       1
1: 1840 0000    sample_course_data_09_sub_v32   2
1: 1844 0000    sample_course_data_09_sub_v32   2
1: 0861 0000    sample_course_data_09_sub_v32   1
1: 4844 0000    sample_course_data_09_sub_v32   1
1: 0840 0000    sample_course_data_09_sub_v32   1
1: 0844 0000    sample_course_data_09_v32       1
1: 0846 0000    sample_course_data_12           1
1: 0865 0000    sample_course_data_12           1
1: 0840 0000    sample_course_data_12_sub       1
1: 0846 0000    sample_course_data_14           1
1: 0841 0000    sample_course_data_29           1
1: 5844 0000    sample_course_data_29           1
1: 5840 0000    sample_course_data_29           1
1: 0844 0000    sample_course_data_39           1
1: 1840 0000    sample_course_data_42           14
1: 0861 0000    sample_course_data_42           2
1: 0840 0000    sample_course_data_42           2
1: 5840 0000    sample_course_data_51           1
1: 1840 0000    sample_course_data_51           1
1: 5842 0000    sample_course_data_51           1
1: 1844 0000    sample_course_data_51           2
1: 0844 0000    sample_course_data_51           1
1: 5840 0000    sample_course_data_51_sub       1
1: 1840 0000    sample_course_data_51_sub       1
1: 1844 0000    sample_course_data_51_sub       1
1: 4844 0000    sample_course_data_51_sub       1
1: 5840 0000    sample_course_data_56           1
1: 1840 0000    sample_course_data_56           1
1: 4840 0000    sample_course_data_58           1
1: 1840 0000    sample_course_data_58           3
1: 0840 0000    sample_course_data_58           3
1: 5840 0000    sample_course_data_58           3
1: 0841 0000    sample_course_data_62           3
1: 4840 0000    sample_course_data_62           1
1: 0861 0000    sample_course_data_62           2
1: 0840 0000    sample_course_data_62           3
1: 4841 0000    sample_course_data_62           1
1: 0842 0000    sample_course_data_68           4
1: 0840 0000    sample_course_data_68           7
1: 0842 0000    sample_course_data_69           3
1: 0842 0000    sample_course_data_71           2
1: 0840 0000    sample_course_data_71           1
1: 0846 0000    sample_course_data_72           2
1: 0844 0000    sample_course_data_72           3
1: 4844 0000    sample_course_data_74           1
1: 0844 0000    sample_course_data_74           5
1: 4840 0000    sample_course_data_75_sub       2
1: 0825 0000    sample_course_data_75_sub       1
1: 0840 0000    sample_course_data_75_sub       4
1: 0842 0000    sample_course_data_77           1
1: 0846 0000    sample_course_data_79           2
1: 0844 0000    sample_course_data_79           2
1: 1844 0000    sample_course_data_80           56
1: 0844 0000    sample_course_data_80           1
1: 0840 0000    sample_course_data_82           1
1: 1840 0000    sample_course_data_88_sub       6
1: 0840 0000    sample_course_data_95_sub       3
1: 0844 0000    sample_course_data_95_sub       1
1: 1840 0000    sample_course_data_97           10
1: 0844 0000    sample_course_data_97           2
1: 0840 0000    sample_course_data_99           2
1: 0844 0000    sample_course_data_99           11
1: 0844 0000    tutorial_course_data_08_sub     3
2: 4863 0000    sample_course_data_08_sub       5
2: 4863 0000    sample_course_data_08_sub_v32   5
2: 4801 0000    sample_course_data_09           1
2: 4861 0000    sample_course_data_09           1
2: 4841 0000    sample_course_data_09           1
2: 4844 0000    sample_course_data_09_sub       2
2: 0840 0000    sample_course_data_09_sub       4
2: 0844 0000    sample_course_data_09_sub       4
2: 4844 0000    sample_course_data_09_sub_v32   2
2: 0840 0000    sample_course_data_09_sub_v32   4
2: 0844 0000    sample_course_data_09_sub_v32   4
2: 4801 0000    sample_course_data_09_v32       1
2: 4861 0000    sample_course_data_09_v32       1
2: 4841 0000    sample_course_data_09_v32       1
2: 4841 0000    sample_course_data_33           1
2: 0840 0000    sample_course_data_33           2
2: 5840 0000    sample_course_data_39           3
2: 1840 0000    sample_course_data_39           9
2: 0840 0000    sample_course_data_39           2
2: 4a40 0000    sample_course_data_47           1
2: 0841 0000    sample_course_data_51           1
2: 5840 0000    sample_course_data_56           1
2: 1840 0000    sample_course_data_56           1
2: 5844 0000    sample_course_data_56           1
2: 1844 0000    sample_course_data_56           1
2: 0841 0000    sample_course_data_68           5
2: 0841 0000    sample_course_data_69           12
2: 0841 0000    sample_course_data_71           3
2: 0841 0000    sample_course_data_77           16
2: 0845 0000    sample_course_data_77           3
2: 0863 0000    sample_course_data_77_sub       1
2: 0842 0000    sample_course_data_77_sub       1
2: 0840 0000    sample_course_data_77_sub       1
2: 0841 0000    sample_course_data_95_sub       3
2: 0841 0000    sample_course_data_96           5
2: 0845 0000    sample_course_data_96           1
2: 0841 0000    sample_course_data_96_sub       2
2: 0845 0000    sample_course_data_96_sub       2
2: 0841 0000    sample_course_data_97           1
2: 0845 0000    sample_course_data_97           2
2: 0840 0000    tutorial_course_data_08_sub     2
3: 1840 0000    sample_course_data_08_sub       2
3: 1840 0000    sample_course_data_08_sub_v32   2
3: 4840 0000    sample_course_data_09           1
3: 1840 0000    sample_course_data_09_sub       2
3: 1840 0000    sample_course_data_09_sub_v32   2
3: 4840 0000    sample_course_data_09_v32       1
3: 5840 0000    sample_course_data_56           1
3: 1840 0000    sample_course_data_56           1
3: 0840 0000    sample_course_data_68           2
3: 0840 0000    sample_course_data_69           1
3: 0840 0000    sample_course_data_71           8
3: 0840 0000    sample_course_data_99           2
3: 0840 0000    tutorial_course_data_03         1
4: 0840 0000    sample_course_data_01           53
4: 0840 0000    sample_course_data_01_corrupt   52
4: 0000 0000    sample_course_data_01_corrupt   1
4: 0840 0000    sample_course_data_03           2
4: 0840 0000    sample_course_data_08           3
4: 0840 0000    sample_course_data_08_sub       3
4: 0840 0000    sample_course_data_08_sub_v32   3
4: 0840 0000    sample_course_data_08_v32       3
4: 0840 0000    sample_course_data_09_sub       2
4: 0840 0000    sample_course_data_09_sub_v32   2
4: 0840 0000    sample_course_data_10           241
4: 0840 0000    sample_course_data_11           12
4: 0840 0000    sample_course_data_12           257
4: 0840 0000    sample_course_data_12_sub       451
4: 0840 0000    sample_course_data_14           73
4: 0840 0000    sample_course_data_15           113
4: 0840 0000    sample_course_data_19           80
4: 0840 0000    sample_course_data_28           125
4: 0840 0000    sample_course_data_33           3
4: 0840 0000    sample_course_data_51           6
4: 0840 0000    sample_course_data_51_sub       36
4: 0840 0000    sample_course_data_58           16
4: 0840 0000    sample_course_data_65           1
4: 0840 0000    sample_course_data_68           45
4: 0840 0000    sample_course_data_68_sub       120
4: 0840 0000    sample_course_data_71           45
4: 0840 0000    sample_course_data_74           10
4: 0840 0000    sample_course_data_74_sub       24
4: 0840 0000    sample_course_data_75_sub       186
4: 0840 0000    sample_course_data_77_sub       28
4: 0840 0000    sample_course_data_79           2
4: 0840 0000    sample_course_data_79_sub       6
4: 0840 0000    sample_course_data_82           27
4: 0840 0000    sample_course_data_82_sub       55
4: 0840 0000    sample_course_data_88           1
4: 0840 0000    sample_course_data_88_sub       416
4: 0840 0000    sample_course_data_95           320
4: 0840 0000    sample_course_data_95_sub       514
4: 0840 0000    sample_course_data_96           9
4: 0840 0000    sample_course_data_96_sub       26
4: 0840 0000    sample_course_data_97           23
4: 0840 0000    sample_course_data_99           11
4: 0840 0000    tutorial_course_data_00         2
4: 0840 0000    tutorial_course_data_01         10
4: 0840 0000    tutorial_course_data_02         2
4: 0840 0000    tutorial_course_data_03         14
4: 0840 0000    tutorial_course_data_05         45
4: 0840 0000    tutorial_course_data_06         25
